	adip.h	musc.h	hear.h	brai.h	cere.h	test.h	live.h	hear.c	brai.c	cere.c	test.c	live.c	adip.r	musc.r	hear.r	brai.r	cere.r	test.r	live.r		
ENSG00000225021	0	0.884994096	0	0	0.625831451	0	44.99631604	0	0	0	0.52926113	0.619230694	0	0	0	0	0	1.035344291	0		
ENSG00000225860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ENSG00000225917	0	0	1.709324116	1.286168	1.166728633	1.51695589	1.072960327	2.526108121	1.372013047	1.645617482	0.848658101	0	2.165173389	1.613467165	0.979176403	3.349123148	2.376449352	3.113222764	0.608577232		
ENSG00000230294	0	0	0	0	0	0	0	0	0	0	0.841567661	0	0	0	0	0	0	0	0		
ENSG00000235766	3.490397624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.587383132	0	0		
ENSG00000236314	3.973600389	9.825282481	1.273020739	3.978864656	9.504672545	2.942958456	6.38711765	2.702475331	2.470402232	15.60134168	1.369306143	5.056986768	0	0.651366929	0	1.602651173	5.267961087	2.715239106	0.933816867		
ENST00000273641	0	0	0	1.632915033	0	0	0	0	0.597595897	0	0	0	0	0	0	0	0	0	0		
ENST00000308946	1.994687426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ENST00000315302	1.708066923	0	0	0	0	0	0	1.518284179	0	0	0	0	2.205438355	0	0	0	0	2.297362917	0		
ENST00000318659	0	0	0	3.954743584	3.90920712	0	0	0	7.052751832	4.060415631	0	0	0	0	0	4.455026649	1.575906319	0	0		
ENST00000324987	1.658802831	1.889231908	0.926595876	0	0.753376216	0	1.063736611	0	0	0.565995905	0	0.908098209	0	1.038346141	0	0.612423343	0.690820169	0.722846099	0		
ENST00000326341	0	0	0	0	0.644925375	2.739073748	9.999264809	0	0	0	0	1.978802665	0	0	0	0	0	3.021307274	5.233702565		
ENST00000327903	4.961859713	2.441151717	7.382892198	11.93336081	13.53529937	24.75538285	3.459939211	8.927997888	11.84542216	21.01246537	42.58031805	4.683406028	18.80567387	11.96033383	6.469007458	9.547117823	7.678624725	28.71152771	5.328676673		
ENST00000370523	0	5.783623388	15.75276963	0	0	0	0	2.821656302	0	0	0	0	0	15.06695351	2.141309427	0	0	0	0		
ENST00000370535	0	0	0.542642577	9.534527259	9.000478025	0	0	0	16.28448818	61.96330784	0	0	0	0	0	7.267077411	6.562818129	0	0		
ENST00000373170	0	0	0	0.707609105	0	32.3624235	0	0	1.002979597	0	16.51560337	0	0	0	0	1.091646284	0	15.58373109	0		
ENST00000376812	0.632742032	0	0	3.522608593	4.38811848	2.919113423	0	0	3.857863647	4.026210133	4.537475473	0	0	0	0	1.598672958	0	1.642766577	0		
ENST00000377006	0	0	0	0	0	0.741828943	0	0	0	0.930552643	1.145200261	0	0	0	0	0	0	0	0		
ENST00000377064	2.58964985	0	0	0	2.404548258	0.691159053	0	0	0	0.756074023	0	0	0	0	0	0	0	0	0		
ENST00000391430	0.60220429	0	1.222167965	1.265441601	1.844799824	1.645057665	2.438994542	1.328205066	1.907354417	3.574016209	3.187263158	6.533328578	0.939120604	1.07832818	0.822959362	0.855161627	2.403316984	0.669907923	0.796391577		
ENST00000391812	7.170190174	1.247809803	6.574031215	4.173024886	7.586770822	16.88353047	12.10002915	0.656731255	3.540106127	3.113783113	9.196870938	8.184315252	3.34854079	1.957780828	1.275262225	2.513010366	3.295807021	12.78374797	4.90409048		
ENST00000397571	0	0	0.878265442	0	0	0	0	1.852833271	0	0	0	0.62424181	0	0	0	0	0	0	0		
ENST00000397608	0	0	2.447078951	0	0	0	0	0.832312412	0	0	0	0	0	0	0.707404794	0	0	0	0		
ENST00000399070	2.306223692	1.743044578	1.742090239	4.680970948	2.679255838	1.525405836	1.637119227	5.015759189	3.130544341	4.288651492	1.336177491	1.188119762	2.560750659	1.840188578	2.04276658	2.657465585	3.181396546	2.082466124	1.549461388		
ENST00000400385	0	0	0	0	0.692192333	2.655290021	0.743012684	0	0.939354893	1.493270605	0.513236722	0	0	0	0	0	0	0	0		
ENST00000400449	0	0	0	0	0	0	0	0	0	0	0	0	0.892658319	0	0	0	0	0	0		
ENST00000400991	0	0	0	15.44657122	10.56423453	1.387186518	0	0	9.678056601	25.19265808	1.410570706	0	0	0	0	15.16386565	13.04908004	0	0		
ENST00000408893	0.539691734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ENST00000408897	0	0	0	0.880032843	0.738435844	1.952743047	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0		
ENST00000408913	2.179234285	0	0.758183241	0	0	1.129031076	2.206535481	0	0	0	0	2.249871523	0	0	0	0	0	0	0		
ENSTT00000253461	4.582566115	4.847501764	1.461471787	1.969685261	1.918021887	47.26744659	4.912915738	4.684854625	9.432358319	6.788005602	173.2096368	9.065589349	0	0	0	0	0	2.242972675	0		
ENSTT00000278779	0	0	0	0	0	5.430730938	0	0	0	0	0.506881609	0	0	0	0	0	0	0	0		
ENSTT00000300525	0	0	0	0	1.754479147	0	0	0	2.402405633	7.229918232	0.644755107	0	0	0	0	0.939692792	2.314548199	0	0		
ENSTT00000325568	30.16461643	9.476244474	21.65659514	1.132494754	1.830162561	15.54300996	19.42009641	24.2364661	0.645511243	2.280482728	5.613028848	1947.002332	NA	NA	NA	NA	NA	NA	NA		
ENSTT00000330551	0	0	0	1.346032809	0.564728283	0	1.133109559	0	0	0	0	0	0	0	0	0	0	0	0		
ENSTT00000333319	1.513114782	0.571076033	0.773399833	2.972606575	1.866494323	5.653753429	1.929274478	0.899832004	1.962671938	2.456415166	4.299418506	1.131813098	0	0.684802305	0	0.844871963	0.659274321	1.978293709	0		
ENSTT00000381348	0	0	0	12.79952404	9.812883204	2.111376477	0	0	27.20569208	10.95654679	4.239243419	0	0	0	0	35.46200747	17.87725002	0	0		
ENSTT00000408966	1.671238714	1.240307711	1.294407633	2.412184199	1.204800323	4.747157869	1.1684071	0	0	0	4.188673893	2.085029451	2.697656745	0.872217913	0.894458233	1.844734598	1.625694568	1.614949262	0.70777264		
ENST00000360785	0	0	0	0.943023508	0.649264682	0	0	0	0	0.602601813	0	0	0	0	0	1.349565362	2.797785304	1.115184274	0		
ENST00000378485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
